20 most popular tags this month,frequncy
Month:1
i,348
You,98
love,74
life,62
Boston,59
Kobe,59
Celtics,58
Lynx,45
please,41
report4charlie,32
Suffolk,29
celtics,22
sad,22
college,21
GRAMMYs,20
Patriots,19
student,16
NBA,15
Trump,15
SuperBowlLIV,14
Month:2
report4charlie,1174
i,716
love,235
You,216
congresstocampus,184
SuperBowlLIV,146
Lynx,146
FMCtC,136
Boston,131
SuperBowl,129
CongresstoCampus,104
website,102
Suffolk,102
fmctc,100
Report4Charlie,96
life,91
Trump,89
DemDebate,88
SuperBowl2020,78
Oscars,78
Month:3
i,904
MAvotesSU,544
SuperTuesday,352
MAPrimary,252
You,246
love,194
coronavirus,178
Boston,176
Suffolk,162
vote,110
please,106
Lynx,104
life,102
Trump,90
Massachusetts,84
report4charlie,80
COVID19,80
sad,74
college,66
student,64
Month:4
i,1299
You,369
love,343
life,164
Lynx,136
Patriots,135
ACNH,135
AnimalCrossing,132
Boston,125
NintendoSwitch,108
COVID19,106
COVID19Pandemic,102
please,93
vote,86
Trump,78
Suffolk,76
college,75
pandemic,68
sports,66
BernieSanders,65
Month:5
i,1307
love,379
You,361
life,245
Patriots,117
Boston,102
please,102
Suffolk,89
Lynx,89
college,86
proud,82
pandemic,81
sports,74
Celtics,65
Trump,60
ACNH,60
news,56
sad,55
BlackLivesMatter,52
COVID19,49
Month:6
i,660
love,265
You,246
please,150
Boston,132
life,127
Trump,85
justice,60
vote,49
respect,44
news,44
Suffolk,36
smh,36
BreonnaTaylor,36
bostonprotest,36
BREONNATAYLOR,36
proud,34
sad,32
ElijahMcClain,32
Lynx,30
Month:7
i,461
You,181
love,156
life,74
Trump,49
GetDanToSpace,44
please,39
Boston,38
sad,34
vote,32
news,27
Lynx,27
college,26
RedSox,25
Suffolk,21
NASA,21
body,20
SpaceX,20
MA,19
opinion,17
